PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Mueller-Merbach, Heiner								OR/MS rationality against managers' will								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			255	256		10.1016/j.omega.2008.02.003					APR 2009	2009										1	0	0	0	0	1			0305-0483			WOS:000259731200001		
J	Chakraborty, Tulika; Giri, B. C.; Chaudhuri, K. S.				Chakraborty, Tulika/I-1704-2019	Chakraborty, Tulika/0000-0003-3539-2772; Giri, Bibhas Chandra/0000-0001-7409-4896			Production lot sizing with process deterioration and machine breakdown under inspection schedule								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			257	271		10.1016/j.omega.2006.12.001					APR 2009	2009										49	1	0	0	0	50			0305-0483			WOS:000259731200002		
J	Ronconi, Debora P.; Henriques, Luis R. S.				Ribas, Imma/L-8946-2014; Ronconi, Debora/P-4084-2015	Ronconi, Debora/0000-0001-7647-2328			Some heuristic algorithms for total tardiness minimization in a flowshop with blocking								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			272	281		10.1016/j.omega.2007.01.003					APR 2009	2009										47	2	0	1	1	50			0305-0483			WOS:000259731200003		
J	Balan, S.; Vrat, Prem; Kumar, Pradeep								RETRACTED: Information distortion in a supply chain and its mitigation using soft computing approach (Retracted article. See vol. 40, pg. 502, 2012)								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			282	299		10.1016/j.omega.2007.01.004					APR 2009	2009										22	3	0	0	0	25			0305-0483			WOS:000259731200004		
J	Akinc, Umit; Meredith, Jack								Modeling the manager's match-or-wait dilemma in a make-to-forecast production situation								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			300	311		10.1016/j.omega.2007.01.005					APR 2009	2009										4	0	0	0	0	4			0305-0483			WOS:000259731200005		
J	Durbach, Ian N.; Stewart, Theodor J.				Stewart, Theodor J/E-8192-2013	Stewart, Theodor J/0000-0002-2107-5955; Durbach, Ian/0000-0003-0769-2153			Using expected values to simplify decision making under uncertainty								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			312	330		10.1016/j.omega.2007.02.001					APR 2009	2009										31	0	0	2	1	32			0305-0483			WOS:000259731200006		
J	Rad, Shahriar Farahmand; Ruiz, Ruben; Boroojerdian, Naser				Ruiz, Ruben/G-3929-2015; Garcia, Ruben Ruiz/L-5381-2019	Ruiz, Ruben/0000-0003-3295-3888; Garcia, Ruben Ruiz/0000-0003-3295-3888			New high performing heuristics for minimizing makespan in permutation flowshops								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			331	345		10.1016/j.omega.2007.02.002					APR 2009	2009										56	2	0	1	0	57			0305-0483			WOS:000259731200007		
J	Graves, Samuel B.; Ringuest, Jeffrey L.					Graves, Samuel/0000-0001-9430-2613			Probabilistic dominance criteria for comparing uncertain alternatives: A tutorial								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			346	357		10.1016/j.omega.2007.03.001					APR 2009	2009										27	4	0	2	1	31			0305-0483			WOS:000259731200008		
J	Bichescu, Bogdan C.; Fry, Michael J.								A numerical analysis of supply chain performance under split decision rights								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			358	379		10.1016/j.omega.2007.04.001					APR 2009	2009										17	3	0	0	0	20			0305-0483			WOS:000259731200009		
J	Orfila-Sintes, Francina; Mattsson, Jan				Orfila-Sintes, Francina/F-5083-2016; Yin, Yimei/G-7749-2012	Orfila-Sintes, Francina/0000-0003-3721-7097; Mattsson, Jan/0000-0002-4121-0114			Innovation behavior in the hotel industry								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			380	394		10.1016/j.omega.2007.04.002					APR 2009	2009										133	1	0	3	2	135			0305-0483			WOS:000259731200010		
J	Jimenez, Antonio; Mateos, Alfonso; Rios-Insua, Sixto				Mateos, A/G-1450-2013; Jimenez-Martin, Antonio/B-9307-2008	Mateos, A/0000-0003-4764-6047; Jimenez-Martin, Antonio/0000-0002-4947-8430			Missing consequences in multiattribute utility theory								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			395	410		10.1016/j.omega.2007.04.003					APR 2009	2009										18	0	0	0	0	18			0305-0483			WOS:000259731200011		
J	Das, Abhiman; Ray, Subhash C.; Nag, Ashok								Labor-use efficiency in Indian banking: A branch-level analysis								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			411	425		10.1016/j.omega.2007.05.002					APR 2009	2009										27	0	0	0	0	27			0305-0483			WOS:000259731200012		
J	Lee, Sang-Yong Tom; Kim, Hee-Woong; Gupta, Sumeet				Lee, Sang Yong Tom/K-8506-2012				Measuring open source software success								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			426	438		10.1016/j.omega.2007.05.005					APR 2009	2009										56	0	0	0	1	57			0305-0483			WOS:000259731200013		
J	Li, Jun; Xu, Jiuping								A novel portfolio selection model in a hybrid uncertain environment								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			439	449		10.1016/j.omega.2007.06.002					APR 2009	2009										49	3	0	1	0	52			0305-0483			WOS:000259731200014		
J	Luque, Mariano; Miettinen, Kaisa; Eskelinen, Petri; Ruiz, Francisco				Ruiz, Francisco/K-4911-2014; Luque, Mariano/K-1006-2014	Ruiz, Francisco/0000-0002-2612-009X; Luque, Mariano/0000-0001-7151-1623; Miettinen, Kaisa/0000-0003-1013-4689			Incorporating preference information in interactive reference point methods for multiobjective optimization								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			450	462		10.1016/j.omega.2007.06.001					APR 2009	2009										67	2	0	3	1	69			0305-0483			WOS:000259731200015		
J	Hughes, Warren R.								A statistical framework for strategic decision making with AHP: Probability assessment and Bayesian revision								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			463	470		10.1016/j.omega.2007.07.002					APR 2009	2009										12	0	0	0	0	12			0305-0483			WOS:000259731200016		
J	Tsai, Wen-Hsien; Hung, Shih-Jieh								Dynamic pricing and revenue management process in Internet retailing under uncertainty: An integrated real options approach								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			471	481		10.1016/j.omega.2007.07.001					APR 2009	2009										40	1	0	0	0	41			0305-0483			WOS:000259731200017		
J	Choi, Jin Ho; Chang, Yong Sik; Han, Ingoo				Han, Ingoo/C-2031-2011				The empirical analysis of the N-bilateral optimized combinatorial auction model								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			482	493		10.1016/j.omega.2007.07.003					APR 2009	2009										3	0	0	0	0	3			0305-0483			WOS:000259731200018		
J	Erginel, Nihal								Untitled								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	2			494	494		10.1016/j.omega.2007.01.002					APR 2009	2009										0	0	0	0	0	0			0305-0483			WOS:000259731200019		
J	Mueller-Merbach, Heiner								Essential properties of good OR/MS professionals								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			1	2		10.1016/j.omega.2008.02.004					FEB 2009	2009										3	0	0	0	0	3			0305-0483			WOS:000259436300001		
J	Robinson, Powell; Narayanan, Arunachalam; Sahin, Funda								Coordinated deterministic dynamic demand lot-sizing problem: A review of models and algorithms								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			3	15		10.1016/j.omega.2006.11.004					FEB 2009	2009										74	1	0	1	3	78			0305-0483			WOS:000259436300002		
J	Fang, Xiao; Rachamadugu, Ram								Policies for knowledge refreshing in databases								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			16	28		10.1016/j.omega.2006.07.003					FEB 2009	2009										4	0	0	0	0	4			0305-0483			WOS:000259436300003		
J	Wu, Chin-Chun; Chou, Chao-Yu; Huang, Chikong								Optimal price, warranty length and production rate for free replacement policy in the static demand market								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			29	39		10.1016/j.omega.2006.07.005					FEB 2009	2009										49	5	0	0	0	54			0305-0483			WOS:000259436300004		
