作者	記錄	% of 648
ORHAN G	2	0.309
OSTLUND B	2	0.309
OZTOP E	2	0.309
PAPADOPOULOS F	2	0.309
PARISI GI	2	0.309
PETIT D	2	0.309
PEZZULO G	2	0.309
PITTI A	2	0.309
POWER V	2	0.309
PRAKASH A	2	0.309
PUGEAULT N	2	0.309
QIAO H	2	0.309
READ R	2	0.309
RIEDO F	2	0.309
RIENER R	2	0.309
ROBINSON H	2	0.309
ROHRBEIN F	2	0.309
SABANOVIC S	2	0.309
SALVIETTI G	2	0.309
SALVINI P	2	0.309
SANFELIU A	2	0.309
SANTOS-VICTOR J	2	0.309
SANTUCCI VG	2	0.309
SCASSELLATI B	2	0.309
SCHENCK C	2	0.309
SCHULZ R	2	0.309
SHAH JA	2	0.309
SHELDON M	2	0.309
SHEN Q	2	0.309
SHEN QM	2	0.309
SHI BE	2	0.309
SHIMOHARA K	2	0.309
SIMMONS R	2	0.309
SIMUT R	2	0.309
SINGH S	2	0.309
SOMOGYI E	2	0.309
STAFFORD RQ	2	0.309
STRAMANDINOLI F	2	0.309
SYRDAL DS	2	0.309
TAHERI A	2	0.309
TIKHANOFF V	2	0.309
TRIANNI V	2	0.309
TRIESCH J	2	0.309
TROVATO G	2	0.309
TUCI E	2	0.309
VELONAKI M	2	0.309
VOLLMER AL	2	0.309
WAINER J	2	0.309
WALTERS ML	2	0.309
WATANABE K	2	0.309
WEBB P	2	0.309
WEI Y	2	0.309
WORGOTTER F	2	0.309
WU W	2	0.309
XIE SQ	2	0.309
XU QL	2	0.309
YAN R	2	0.309
YU C	2	0.309
YU T	2	0.309
ZAMBELLI M	2	0.309
ZECCA M	2	0.309
ZESCHEL A	2	0.309
ZHAO J	2	0.309
ZIBETTI E	2	0.309
ZLOTOWSKI J	2	0.309
ZOLLO L	2	0.309
ABBEEL P	1	0.154
ABBINK DA	1	0.154
ABDEL-MALEK K	1	0.154
ABRAMSON RK	1	0.154
ACEVEDO-VALLE JM	1	0.154
ADAMIETZ R	1	0.154
ADAMS S	1	0.154
ADEWUYI AA	1	0.154
ADHIKARI B	1	0.154
ADMONI H	1	0.154
ADOLPH KE	1	0.154
AHMADABADI MN	1	0.154
AHN HS	1	0.154
AIDA K	1	0.154
AJOUDANI A	1	0.154
AKALIN N	1	0.154
AKIN HL	1	0.154
AKIZUKI S	1	0.154
AL-JUMAILY A	1	0.154
ALBERT D	1	0.154
ALBU-SCHAFFER A	1	0.154
ALENLJUNG B	1	0.154
ALI M	1	0.154
ALIBEIGI M	1	0.154
ALINA R	1	0.154
ALISSANDRAKIS A	1	0.154
ALJUNIED SM	1	0.154
ALMEIDA S	1	0.154
ALONSO V	1	0.154
ALTHAUS N	1	0.154
ALTHOFF D	1	0.154
ALY A	1	0.154
AMANT RS	1	0.154
AMBE Y	1	0.154
AMIN S	1	0.154
AMSUESS S	1	0.154
AMTHOR FR	1	0.154
AN N	1	0.154
ANAMARIA PC	1	0.154
ANDERSON RC	1	0.154
ANDERSSON C	1	0.154
ANDERSSON PH	1	0.154
ANDRE E	1	0.154
ANDREASSON R	1	0.154
ANDRY P	1	0.154
ANG M	1	0.154
ANG MH	1	0.154
ANGULO C	1	0.154
ANIMASHAUN A	1	0.154
ANNAHEIM S	1	0.154
ANSERMET F	1	0.154
ANZALONE S	1	0.154
AOI S	1	0.154
AOUSSAT A	1	0.154
ARAABI BN	1	0.154
ARBEITER G	1	0.154
ARELEKATTI VNM	1	0.154
ARENA E	1	0.154
ARENA P	1	0.154
ARGALL BD	1	0.154
ARGENTIERI S	1	0.154
ARGONETO P	1	0.154
ARNOLD T	1	0.154
ARTEMIADIS P	1	0.154
ARVIN F	1	0.154
ASADA T	1	0.154
ASHAYERI J	1	0.154
ASHER DE	1	0.154
ASHGARI-OSKOEI M	1	0.154
ASSAL SFM	1	0.154
ASZMANN OC	1	0.154
ATALLAH BV	1	0.154
ATMATZIDOU S	1	0.154
ATRASH A	1	0.154
ATZORI M	1	0.154
AUGUSTINOVA M	1	0.154
AYAZ Y	1	0.154
AYDEMIR A	1	0.154
AYMERICH-FRANCH L	1	0.154
