PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Taherkhani, Gita; Alumur, Sibel A.				Alumur, Sibel A./A-6713-2010	Alumur, Sibel A./0000-0003-1550-8053			Profit maximizing hub location problems								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				1	15		10.1016/j.omega.2018.05.016					JUL 2019	2019										0	0	0	0	0	0			0305-0483			WOS:000465054900001		
J	Caserta, Marco; Voss, Stefan					Voss, Stefan/0000-0003-1296-4221			The robust multiple-choice multidimensional knapsack problem								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				16	27		10.1016/j.omega.2018.06.014					JUL 2019	2019										0	0	0	0	0	0			0305-0483			WOS:000465054900002		
J	Cascon, J. M.; Gonzalez-Arteaga, T.; de Andres Calle, R.					de Andres Calle, Rocio/0000-0002-8387-1164			Reaching social consensus family budgets: The Spanish case								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				28	41		10.1016/j.omega.2018.06.015					JUL 2019	2019										0	0	0	0	0	0			0305-0483			WOS:000465054900003		
J	Chen (Jay), Jen-Yi; Dimitrov, Stanko; Pun, Hubert								The impact of government subsidy on supply Chains' sustainability innovation								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				42	58		10.1016/j.omega.2018.06.012					JUL 2019	2019										1	0	0	0	0	1			0305-0483			WOS:000465054900004		
J	Sun, Hao; Yang, Jun; Yang, Chao								A robust optimization approach to multi-interval location-inventory and recharging planning for electric vehicles								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				59	75		10.1016/j.omega.2018.06.013					JUL 2019	2019										0	0	0	0	0	0			0305-0483			WOS:000465054900005		
J	Chen, Xu; Luo, Zheng; Wang, Xiaojun								Compete or cooperate: Intensity, dynamics, and optimal strategies								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				76	86		10.1016/j.omega.2018.07.002					JUL 2019	2019										0	0	0	0	0	0			0305-0483			WOS:000465054900006		
J	Lu, Fuxiao; Tang, Wansheng; Liu, Guowei; Zhang, Jianxiong								Cooperative advertising: A way escaping from the prisoner's dilemma in a supply chain with sticky price								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				87	106		10.1016/j.omega.2018.07.003					JUL 2019	2019										0	0	0	0	0	0			0305-0483			WOS:000465054900007		
J	Watrobski, Jaroslaw; Jankowski, Jaroslaw; Ziemba, Pawel; Karczmarczyk, Artur; Ziolo, Magdalena				Ziemba, Pawel/O-7279-2018	Ziemba, Pawel/0000-0002-4414-8547; Karczmarczyk, Artur/0000-0002-1135-7510; Jankowski, Jaroslaw/0000-0002-3658-3039			Generalised framework for multi-criteria method selection								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				107	124		10.1016/j.omega.2018.07.004					JUL 2019	2019										6	0	0	0	0	6			0305-0483			WOS:000465054900008		
J	Carrizosa, Emilio; Guerrero, Vanesa; Morales, Dolores Romero								Visualization of complex dynamic datasets by means of mathematical optimization								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				125	136		10.1016/j.omega.2018.07.008					JUL 2019	2019										0	0	0	0	0	0			0305-0483			WOS:000465054900009		
J	Eun, Joonyup; Kim, Sang-Phil; Yih, Yuehwern; Tiwari, Vikram								Scheduling elective surgery patients considering time-dependent health urgency: Modeling and solution approaches								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				86				137	153		10.1016/j.omega.2018.07.007					JUL 2019	2019										0	0	0	0	0	0			0305-0483			WOS:000465054900010		
